ano,url,titulo,data,id,slug
2022,https://www.ufrn.br/imprensa/noticias/59543/eaj-publica-edital-do-leilao-de-bovinos,EAJ publica edital do leilão de bovinos,01/06/2022 12:14,59543,eaj-publica-edital-do-leilao-de-bovinos
2022,https://www.ufrn.br/imprensa/noticias/59358/eaj-oferece-vagas-para-o-curso-tecnico-em-gastronomia,EAJ oferece vagas para o curso técnico em Gastronomia,27/05/2022 15:41,59358,eaj-oferece-vagas-para-o-curso-tecnico-em-gastronomia
2022,https://www.ufrn.br/imprensa/noticias/59221/eaj-recebe-camara-especializada-de-agronomia-do-crea-rn,EAJ recebe Câmara Especializada de Agronomia do CREA-RN,25/05/2022 16:58,59221,eaj-recebe-camara-especializada-de-agronomia-do-crea-rn
2022,https://www.ufrn.br/imprensa/noticias/59191/eaj-publica-edital-de-selecao-de-alunos-para-cursos-tecnicos,EAJ publica edital de seleção de alunos para cursos técnicos,25/05/2022 12:08,59191,eaj-publica-edital-de-selecao-de-alunos-para-cursos-tecnicos
2022,https://www.ufrn.br/imprensa/noticias/59129/incubadora-da-eaj-tem-novo-gerente-executivo,Incubadora da EAJ tem novo gerente executivo,24/05/2022 15:43,59129,incubadora-da-eaj-tem-novo-gerente-executivo
2022,https://www.ufrn.br/imprensa/noticias/59118/proae-divulga-resultado-final-dos-auxilios-moradia-e-residencia,Proae divulga resultado final dos Auxílios Moradia e Residência,24/05/2022 11:15,59118,proae-divulga-resultado-final-dos-auxilios-moradia-e-residencia
2022,https://www.ufrn.br/imprensa/noticias/59015/ufrn-abre-selecao-para-professores-substitutos-em-32-unidades,UFRN abre seleção para professores substitutos em 32 unidades,20/05/2022 15:38,59015,ufrn-abre-selecao-para-professores-substitutos-em-32-unidades
2022,https://www.ufrn.br/imprensa/noticias/58968/maricultura-de-macroalgas-no-nordeste-do-brasil-retoma-atividades-praticas,Maricultura de Macroalgas no Nordeste do Brasil retoma atividades práticas,19/05/2022 15:23,58968,maricultura-de-macroalgas-no-nordeste-do-brasil-retoma-atividades-praticas
2022,https://www.ufrn.br/imprensa/noticias/58906/dasap-divulga-resultado-final-do-auxilio-transporte-da-eaj,Dasap divulga resultado final do Auxílio Transporte da EAJ,18/05/2022 12:33,58906,dasap-divulga-resultado-final-do-auxilio-transporte-da-eaj
2022,https://www.ufrn.br/imprensa/noticias/58804/felcs-oferta-curso-gratuito-em-parceria-com-a-eaj,Felcs oferta curso gratuito em parceria com a EAJ,16/05/2022 15:38,58804,felcs-oferta-curso-gratuito-em-parceria-com-a-eaj
